Id,Category,Word,English Translation
0,घारातिल माणसे,बहीण,Sister
1,घारातिल माणसे,काका ,Paternal Uncle
2,घारातिल माणसे,काकू ,Paternal Uncle's Wife
3,घारातिल माणसे,मावशी,Maternal Aunt
4,घारातिल माणसे,भाऊ,Brother
5,खेळणी व खेळाची साधने,गोट्या,Marbles
6,खेळणी व खेळाची साधने,झोपाळा,Swing
7,खेळणी व खेळाची साधने,घसरगुंडी,Slide
8,फराळाचे पदार्थ,खाऊ,Snacks
9,फराळाचे पदार्थ,चिवडा,Chivda
10,फराळाचे पदार्थ,शेव,Sev
11,फराळाचे पदार्थ,चकली,Chakli
12,फराळाचे पदार्थ,आईस्क्रीम ,Ice-Cream
13,कपडे,परकर,petticoat
14,कपडे,पोलके,blouse
15,कपडे,साडी,sari
16,कपडे,खिसा,pocket
17,प्राणी,मासा ,fish
18,प्राणी,साप ,snake
19,प्राणी,सिंह ,lion
20,प्राणी,उंदीर,rat
21,प्राणी,शेपूट / शेपटी ,tail
22,प्राणी,शिंग ,horn
23,प्राणी,सोंड,snout
24,पक्षी,बदक,duck
25,पक्षी,कोंबडा ,chicken
26,पक्षी,कबूतर,pigeon
27,पक्षी,बगळा ,egret
28,पक्षी,चोच ,beak
29,पक्षी,पीस,feather
30,फळे,नारळ,coconut
31,फळे,फणस,jackfruit
32,फळे,अननस,pineapple
33,फळे,कलिंगड,watermelon
34,फळे,पपई,papaya
35,फळे,मोसंब ,sweet lemon
36,फळे,सीताफळ ,custard apple
37,फळे,बी ,seed
38,फळे,साल,skin
39,फळे,रस ,juice
40,वाहने,टॅक्सी ,taxi
41,वाहने,चाक,wheel
42,वाहने,रास्ता ,road
43,वाहने,आकाश,sky